"env","cov_selected","n_used","mean_y","rmse","cv_pct"
"Akron_2025","expa",126,44.8638888888889,3.80945351345613,8.49113531573406
"Burlington_2025","gau",124,62.6636290322581,4.20903053751108,6.71686367756382
"Genoa_2025","gau",124,45.0032258064516,6.56462121452192,14.5870014801935
"Julesburg_2025","sph",126,57.655,6.24620225288393,10.8337564008047
"Lamar_2025","sph",120,74.7713333333333,2.55469968401813,3.41668333320898
"Orchard_2025","sph",124,27.3132258064516,3.83954228541106,14.0574471599181
"SLake_2025","gau",124,65.3054838709677,2.80537116578127,4.29576660257841
"Walsh_2025","gau",123,67.1130894308943,4.75088040919984,7.07891776326551
"Yuma_2025","sph",124,85.3008870967742,3.56792825858205,4.1827563346841
